Country ,Quantity,Year
China,"450,000,000",1992
USA,"100,000,000",1995
Japan,"72,540,000",1996
Germany,"62,000,000",1996
India,"30,800,000",1990
Indonesia,"22,300,000",1982
Italy,"23,000,000",1995
UK,"20,000,000",1995
France,"20,000,000",1995
Brazil,"40,000,000",1996
Netherlands,"16,500,000",2000
Canada,"10,150,000",1992
Spain,"6,950,000",1995
Sweden,"6,000,000",1995
South Korea,"6,500,000",1985
Mexico,"6,000,000",1986
Belgium,"5,200,000",1995
Rumania,"5,000,000",1995
Denmark,"4,500,000",1995
Switzerland,"3,800,000",1996
Hungary,"3,500,000",1995
Australia,"3,300,000",1995
Finland,"3,250,000",1995
Norway,"3,000,000",1995
